start,end,label
2019-02-07 12:57:43.180000-06:00,2019-02-07 12:58:18.428000-06:00,c
2019-02-07 13:04:49.100000-06:00,2019-02-07 13:05:22.870000-06:00,c
2019-02-07 13:06:01.050000-06:00,2019-02-07 13:06:30.750000-06:00,c
2019-02-07 13:07:05.770000-06:00,2019-02-07 13:08:33.860000-06:00,c
2019-02-07 13:08:47.260000-06:00,2019-02-07 13:11:00.630000-06:00,c
2019-02-07 13:12:12.790000-06:00,2019-02-07 13:20:18.700000-06:00,c
2019-02-07 13:20:43.640000-06:00,2019-02-07 13:21:49.635000-06:00,c
2019-02-07 13:37:04.590000-06:00,2019-02-07 13:38:02.310000-06:00,c
2019-02-07 13:38:06.020000-06:00,2019-02-07 13:39:58.530000-06:00,c
2019-02-08 11:31:10.530000-06:00,2019-02-08 11:31:31.010000-06:00,c
2019-02-08 11:31:49.750000-06:00,2019-02-08 11:32:10.335000-06:00,c
2019-02-08 11:33:02.025000-06:00,2019-02-08 11:33:30.555000-06:00,c
2019-02-08 11:35:30.095000-06:00,2019-02-08 11:35:46.125000-06:00,c
2019-02-08 11:36:07.695000-06:00,2019-02-08 11:36:22.860000-06:00,c
2019-02-08 11:38:29.760000-06:00,2019-02-08 11:39:56.230000-06:00,c
2019-02-08 11:40:35.940000-06:00,2019-02-08 11:41:05.175000-06:00,c
2019-02-08 11:41:19.525000-06:00,2019-02-08 11:41:45.820000-06:00,c
2019-02-08 11:42:24.520000-06:00,2019-02-08 11:42:43.250000-06:00,c
2019-02-08 13:12:41.770000-06:00,2019-02-08 13:13:15.371000-06:00,c
2019-02-08 13:13:28.560000-06:00,2019-02-08 13:14:03.975000-06:00,c
2019-02-08 13:14:41.735000-06:00,2019-02-08 13:15:16.645000-06:00,c
2019-02-08 13:15:38.255000-06:00,2019-02-08 13:16:14.415000-06:00,c
2019-02-08 13:17:16.920000-06:00,2019-02-08 13:17:52.896000-06:00,c
2019-02-08 16:55:24.330000-06:00,2019-02-08 16:55:28.500000-06:00,c
2019-02-08 16:57:47.855000-06:00,2019-02-08 16:58:00.340000-06:00,c
2019-02-08 17:00:28.380000-06:00,2019-02-08 17:03:49.120000-06:00,c
2019-02-08 17:03:57.980000-06:00,2019-02-08 17:05:33.460000-06:00,c
2019-02-08 17:05:42.580000-06:00,2019-02-08 17:06:40.390000-06:00,c
2019-02-08 17:07:00.580000-06:00,2019-02-08 17:08:35.675000-06:00,c
2019-02-08 17:08:48.765000-06:00,2019-02-08 17:09:24.400000-06:00,c
