start,end,label
2019-02-07 19:27:08.340000-06:00,2019-02-07 19:27:55.523000-06:00,c
2019-02-07 19:29:52.610000-06:00,2019-02-07 19:33:08.957000-06:00,c
2019-02-07 19:34:26.687000-06:00,2019-02-07 19:36:00.618000-06:00,c
2019-02-07 19:36:49.325000-06:00,2019-02-07 19:37:12.798000-06:00,c
2019-02-07 19:38:03.902000-06:00,2019-02-07 19:43:00-06:00,c
2019-02-07 19:43:00.880000-06:00,2019-02-07 19:43:58.220000-06:00,c
2019-02-07 19:44:41-06:00,2019-02-07 19:44:48.123000-06:00,c
2019-02-07 19:45:41.010000-06:00,2019-02-07 19:48:01.660000-06:00,c
2019-02-07 21:45:19.560000-06:00,2019-02-07 21:46:40.550000-06:00,c
2019-02-07 21:46:52.780000-06:00,2019-02-07 21:47:13.670000-06:00,c
2019-02-08 12:22:31.560000-06:00,2019-02-08 12:26:01.840000-06:00,c
2019-02-08 13:50:31.450000-06:00,2019-02-08 13:51:08.828000-06:00,c
2019-02-08 13:51:39.838000-06:00,2019-02-08 13:57:30.140000-06:00,c
2019-02-08 13:58:26.740000-06:00,2019-02-08 14:00:00.800000-06:00,c
2019-02-08 14:00:26.130000-06:00,2019-02-08 14:01:59-06:00,c
2019-02-08 14:01:59-06:00,2019-02-08 14:03:35.750000-06:00,c
2019-02-08 14:06:06.600000-06:00,2019-02-08 14:13:21.070000-06:00,c
2019-02-08 19:30:52.980000-06:00,2019-02-08 19:31:19.045000-06:00,c
2019-02-08 19:33:50.235000-06:00,2019-02-08 19:33:57.675000-06:00,c
2019-02-08 19:34:10.110000-06:00,2019-02-08 19:34:30.510000-06:00,c
2019-02-08 19:34:40.010000-06:00,2019-02-08 19:34:59.082000-06:00,c
2019-02-08 19:35:37.545000-06:00,2019-02-08 19:37:03.485000-06:00,c
2019-02-08 19:37:42.925000-06:00,2019-02-08 19:39:03.745000-06:00,c
2019-02-08 19:39:50.925000-06:00,2019-02-08 19:41:03.285000-06:00,c
2019-02-08 19:41:37.575000-06:00,2019-02-08 19:43:07.982000-06:00,c
2019-02-08 19:45:01.610000-06:00,2019-02-08 19:46:50.580000-06:00,c
