start,end,label
2019-04-07 12:09:48.600000-05:00,2019-04-07 12:10:05.900000-05:00,c
2019-04-07 12:10:20.950000-05:00,2019-04-07 12:10:36.350000-05:00,c
2019-04-07 12:10:44.050000-05:00,2019-04-07 12:11:07.650000-05:00,c
2019-04-07 12:11:26.100000-05:00,2019-04-07 12:11:40-05:00,c
2019-04-07 12:11:45.850000-05:00,2019-04-07 12:12:01.450000-05:00,c
2019-04-07 13:55:06-05:00,2019-04-07 13:58:39-05:00,c
2019-04-07 13:58:40-05:00,2019-04-07 14:06:01-05:00,c
2019-04-07 14:21:10.900000-05:00,2019-04-07 14:22:07.100000-05:00,c
2019-04-07 14:23:01-05:00,2019-04-07 14:28:56-05:00,c
2019-04-07 18:56:59.200000-05:00,2019-04-07 18:57:46.600000-05:00,c
