start,end,label
2019-01-12 11:59:42.580000-06:00,2019-01-12 11:59:47.750000-06:00,c
2019-01-12 11:59:57.010000-06:00,2019-01-12 12:00:03.300000-06:00,c
2019-01-12 12:00:06.690000-06:00,2019-01-12 12:00:09.810000-06:00,c
2019-01-12 12:00:42.360000-06:00,2019-01-12 12:00:47.680000-06:00,c
2019-01-12 12:00:50.040000-06:00,2019-01-12 12:00:57.880000-06:00,c
2019-01-12 12:01:00.110000-06:00,2019-01-12 12:01:06.110000-06:00,c
2019-01-12 12:01:07.330000-06:00,2019-01-12 12:01:14.800000-06:00,c
2019-01-12 12:02:10.640000-06:00,2019-01-12 12:02:18.930000-06:00,c
2019-01-12 12:02:20.630000-06:00,2019-01-12 12:02:30.110000-06:00,c
2019-01-12 12:02:51.640000-06:00,2019-01-12 12:02:58.020000-06:00,c
2019-01-12 12:03:01.490000-06:00,2019-01-12 12:03:09.350000-06:00,c
2019-01-12 12:03:10.120000-06:00,2019-01-12 12:03:16.190000-06:00,c
2019-01-12 12:03:18.120000-06:00,2019-01-12 12:03:23.030000-06:00,c
2019-01-12 12:05:43.670000-06:00,2019-01-12 12:05:46.490000-06:00,c
2019-01-12 15:51:55.810000-06:00,2019-01-12 15:52:14.780000-06:00,c
2019-01-12 15:53:15.130000-06:00,2019-01-12 15:53:17.670000-06:00,c
2019-01-12 15:53:20.160000-06:00,2019-01-12 15:53:31.860000-06:00,c
2019-01-12 15:55:28.590000-06:00,2019-01-12 15:55:35.340000-06:00,c
2019-01-12 15:59:32.770000-06:00,2019-01-12 15:59:39.650000-06:00,c
2019-01-12 15:59:43.260000-06:00,2019-01-12 15:59:55.360000-06:00,c
2019-01-12 15:59:55.800000-06:00,2019-01-12 16:00:02.020000-06:00,c
2019-01-12 16:00:02.500000-06:00,2019-01-12 16:00:06.670000-06:00,c
2019-01-12 16:00:06.860000-06:00,2019-01-12 16:00:12.170000-06:00,c
2019-01-12 16:00:12.620000-06:00,2019-01-12 16:00:34.250000-06:00,c
2019-01-12 16:00:38.470000-06:00,2019-01-12 16:00:40.630000-06:00,c
2019-01-12 16:01:22.720000-06:00,2019-01-12 16:01:29.140000-06:00,c
2019-01-12 16:01:54.910000-06:00,2019-01-12 16:02:01.360000-06:00,c
2019-01-12 16:02:05.230000-06:00,2019-01-12 16:02:17.760000-06:00,c
2019-01-12 16:02:27.480000-06:00,2019-01-12 16:04:09.500000-06:00,c
2019-01-12 16:04:15.690000-06:00,2019-01-12 16:04:42.750000-06:00,c
2019-01-12 16:05:22.670000-06:00,2019-01-12 16:06:04.820000-06:00,c
2019-01-12 16:06:26.480000-06:00,2019-01-12 16:06:35.970000-06:00,c
2019-01-12 16:06:53.120000-06:00,2019-01-12 16:07:05.930000-06:00,c
2019-01-12 16:07:36.640000-06:00,2019-01-12 16:07:40.150000-06:00,c
2019-01-12 16:08:02.510000-06:00,2019-01-12 16:08:34.980000-06:00,c
2019-01-12 16:15:39.200000-06:00,2019-01-12 16:16:23.390000-06:00,c
2019-01-12 16:17:37.570000-06:00,2019-01-12 16:17:43.520000-06:00,c
2019-01-12 16:18:10.900000-06:00,2019-01-12 16:18:25.090000-06:00,c
2019-01-12 16:20:32.720000-06:00,2019-01-12 16:20:44.140000-06:00,c
2019-01-12 16:21:05.810000-06:00,2019-01-12 16:21:15.530000-06:00,c
2019-01-12 16:21:58.990000-06:00,2019-01-12 16:22:07.800000-06:00,c
2019-01-13 08:37:17.350000-06:00,2019-01-13 08:38:31.400000-06:00,c
2019-01-13 17:51:12.090000-06:00,2019-01-13 17:57:11.600000-06:00,c
2019-01-13 17:57:14.600000-06:00,2019-01-13 17:57:46.790000-06:00,c
2019-01-13 17:57:52.670000-06:00,2019-01-13 17:59:37.580000-06:00,c
2019-01-13 17:59:50.290000-06:00,2019-01-13 18:01:29.850000-06:00,c
