start,end,label
2019-01-24 08:07:17.230000-06:00,2019-01-24 08:08:02.120000-06:00,c
2019-01-24 08:08:21.630000-06:00,2019-01-24 08:11:21.320000-06:00,c
2019-01-24 08:11:28.470000-06:00,2019-01-24 08:12:40.809000-06:00,c
2019-01-24 12:12:09.590000-06:00,2019-01-24 12:14:55.043000-06:00,c
2019-01-24 12:14:57.020000-06:00,2019-01-24 12:23:15.534000-06:00,c
2019-01-24 18:54:55.960000-06:00,2019-01-24 18:56:16.177000-06:00,c
2019-01-24 18:56:27.910000-06:00,2019-01-24 18:58:29.040000-06:00,c
2019-01-24 18:58:40.360000-06:00,2019-01-24 19:00:09.130000-06:00,c
2019-01-24 19:00:25.070000-06:00,2019-01-24 19:06:08.974000-06:00,c
2019-01-24 19:07:04.660000-06:00,2019-01-24 19:14:02.043000-06:00,c
2019-01-24 19:14:04-06:00,2019-01-24 19:22:38.828000-06:00,c
2019-01-25 08:23:39.950000-06:00,2019-01-25 08:30:25.670000-06:00,c
2019-01-25 08:31:00.320000-06:00,2019-01-25 08:33:31.291000-06:00,c
2019-01-25 12:33:15.700000-06:00,2019-01-25 12:34:11.043000-06:00,c
2019-01-25 12:34:31.090000-06:00,2019-01-25 12:40:59.931000-06:00,c
